,title,vote_average,release_date,runtime,genres
168249,Playboy Video Centerfold: Kara Monaco - Playmate of the Year 2006,6.3,2006-06-20,60,Documentary
815823,Sex and the Single Parent,0.0,1979-09-19,96,"Comedy, TV Movie"
932448,Evil Hits Evil,0.0,1983-01-01,85,"Thriller, Horror"
767554,Sam Simmons: Stop Being Silly,0.0,2017-04-14,86,Comedy
323251,Fouetté,8.0,1986-10-15,100,Drama
131864,House Arrest,7.2,2021-09-23,106,Drama
16374,R2B: Return to Base,6.619,2012-08-14,113,"Action, Drama, Romance"
967844,Chance for a Cherry Boy to Get his Dick Wet. If You Can Endure An AV Actress' Teasing For 20 Minutes Without Ejaculating She'll Let You Creampie Your Way to Cherry Boy Graduation. vol. 2,0.0,2013-04-11,178,Documentary
142266,Derren Brown: Inside Your Mind,9.0,2003-10-03,74,Documentary
218617,First Start,9.5,1951-01-25,103,Drama
101637,Wicked Deeds,7.8,2016-02-01,94,"Mystery, Thriller"
257443,Dead End,5.0,2016-01-01,90,Horror
71228,Amsterdam,4.8,2013-10-11,107,"Thriller, Drama"
387383,Angel Mountain,0.0,2021-09-05,104,"History, Drama"
646826,Nango Gaun,0.0,2023-09-15,120,"Comedy, Drama"
78826,Victory,5.8,1919-12-07,62,"Drama, Romance"
119313,Mirror of Flesh,2.8,1984-11-21,102,"Horror, Drama"
130758,Orion,4.5,2015-08-01,110,"Drama, Science Fiction, Action"
62040,The Lady in Black,5.8,1958-02-01,110,"Thriller, Mystery"
756368,Kusina Kings,0.0,2018-07-25,107,Comedy
335145,Band Master,5.0,1993-07-02,146,Action
55339,A Fine Step,5.088,2014-04-16,90,Drama
477266,Prognose Innerdalen,0.0,1981-09-22,85,Documentary
197184,Nemesis,4.2,2010-10-27,83,"Drama, Science Fiction, Thriller"
862240,Steam in the Spring,0.0,2005-10-17,105,Documentary
152949,The Captain's Table,6.3,1959-01-06,90,Comedy
13177,Hunter x Hunter: Phantom Rouge,7.117,2013-01-12,97,"Animation, Adventure, Fantasy, Action"
14538,The Novice,6.556,2021-12-17,94,"Drama, Thriller"
110404,"Angel, Angel, Down We Go",4.2,1969-08-19,93,"Crime, Drama"
94996,New Year's Day,4.286,1990-02-09,88,Comedy
739223,Bajo el signo de la patria,0.0,1971-05-20,110,"War, Drama"
699896,Memoirs,0.0,1984-12-21,82,Drama
934907,Lesbian Stepsisters,0.0,2014-10-07,115,Romance
654699,New Biography of Xi Shi,0.0,2024-09-15,105,"History, Romance"
103196,My Robot Brother,7.2,2022-02-10,84,"Comedy, Science Fiction, Family"
65952,Back Door to Hell,5.769,1964-12-19,75,"Action, War, Drama"
149055,The Cockeyed Cowboys of Calico County,6.3,1970-04-01,99,"Action, Comedy, Western, Romance"
69449,Charleston,6.7,2018-06-08,119,"Comedy, Drama"
235142,Ashman,7.0,2021-09-02,97,"Action, Comedy, Science Fiction"
370618,Dreams,0.0,2005-04-22,132,"Drama, Romance"
108,Beauty and the Beast,6.967,2017-03-16,129,"Family, Fantasy, Romance"
116348,The Light of Dawn: The Normandy Landings,8.0,2014-06-06,100,"Documentary, War"
85717,Nikki & Nora: Sister Sleuths,5.5,2022-10-02,84,"TV Movie, Mystery, Drama"
653011,緊急検証！THE MOVIE ネッシーvsノストラダムスvsユリ・ゲラー,0.0,2019-01-11,108,Horror
166780,To Die For,4.0,1988-10-28,94,Horror
31947,2037,7.2,2022-06-08,126,"Family, Drama"
43077,Schizo,5.62,1976-11-11,109,"Drama, Horror, Mystery, Thriller"
876450,Naydenysh,0.0,2010-02-28,98,"Romance, Drama"
117825,The Forbidden Castle,5.4,1959-02-24,93,Drama
756998,Correction Island,0.0,2017-12-24,90,"Family, Comedy, Adventure"
70744,In My Blood It Runs,8.0,2019-06-09,85,Documentary
99548,Runnin' from my Roots,5.4,2018-12-11,92,Drama
160571,Tatiana 2,9.3,1998-02-01,150,"Action, Drama, History"
103204,Soviet Hippies,4.8,2017-06-01,80,Documentary
901399,Dai nippon kosodoro den,0.0,1964-12-06,94,Comedy
351060,"Claude Sautet, Romy, Yves, Michel et les autres",0.0,2017-11-12,92,Documentary
803481,Black Market Emperor: Silver and Gold,0.0,1993-09-22,96,"Crime, Drama"
121834,Hyper Sapien: People from Another Star,5.0,1986-12-01,92,Science Fiction
80440,Rush,4.8,2012-10-26,110,"Crime, Thriller"
667787,History Rediscovered: The Memphis Belle,0.0,2011-01-01,71,"Documentary, History, War"
158639,Impossible Dreamers,7.7,2016-04-26,75,Documentary
397896,a.k.a Jersey,0.0,2007-12-26,82,Drama
177024,Scary House,8.5,2015-07-30,98,Horror
899104,Happy Go Lucky,0.0,1987-05-21,91,"Action, Romance, Comedy"
450804,A Song for Us,0.0,2022-07-16,91,"Drama, Music, Romance"
336589,Camino,7.0,2016-11-10,75,Comedy
529025,Kawruwath Danne Na,0.0,2021-12-21,128,"Drama, Crime"
284969,Cinephilia,3.0,2021-10-08,110,"History, Comedy"
45996,The Magician,6.587,1926-10-24,83,"Drama, Horror"
385716,Jewish Britain on Film,0.0,2023-05-14,72,Documentary
753276,New York Murder,0.0,2016-06-28,105,Thriller
658815,The Tree House,0.0,2023-03-01,81,Thriller
924067,Hancur,0.0,2005-01-01,101,"Horror, Comedy"
5223,Rising Sun,6.132,1993-07-30,125,"Action, Drama, Thriller"
8349,Zombie Strippers!,4.721,2008-04-18,94,"Comedy, Horror"
740550,Sweetheart,0.0,2016-02-12,147,Romance
181158,When the Clouds Roll by,5.5,1968-11-22,96,Drama
58020,Something For Everyone,6.8,1970-07-22,112,"Drama, Comedy, Crime"
320410,Mera Damad,2.0,1985-03-08,127,"Comedy, Drama"
253877,Once Upon a Time in the Apocalypse,4.0,2021-02-03,79,"Adventure, Drama"
36936,Charter,6.7,2020-03-13,94,Drama
203121,One Track Heart: The Story of Krishna Das,7.5,2013-05-08,74,"Documentary, Music"
834509,Musashi,0.0,2019-05-25,120,"Action, History"
46197,The Last Hammer Blow,6.4,2014-08-30,83,Drama
892113,Earth,0.0,1957-03-04,102,Drama
449265,Babel Carpenters,0.0,2022-08-31,100,Drama
583831,A.I. Perversion,0.0,2024-02-07,75,"Drama, Science Fiction"
967491,Flying Fish,0.0,1983-01-01,60,"Drama, Comedy"
107374,The Princess of France,5.8,2014-08-07,65,Comedy
27613,Armored Car Robbery,6.451,1950-06-08,67,"Crime, Thriller"
137711,The Standard,6.125,2020-09-02,91,Documentary
493561,Dojo,0.0,2022-12-18,87,"TV Movie, Family, Drama"
662631,Coyote's Deadly Action,0.0,2023-08-01,92,Action
57137,Iqbal,5.8,1998-12-22,98,"Drama, TV Movie"
883952,Low Movie (How to Quit Smoking),0.0,2013-04-12,65,"Documentary, Music"
97378,Song of Lahore,6.6,2015-11-13,82,Documentary
378238,The American Woman: Portraits of Courage,0.0,1976-05-20,60,Documentary
468440,Teenage Mao Zedong,0.0,2015-04-30,76,Animation
92292,Little Sparrows,4.0,2010-11-10,88,Drama
1040867,Sarah Young Private Fantasies 21,0.0,1991-09-01,100,Romance
